symbol,tier,rank_mcap,score_explosif,score_momentum,score_signal,score_catalysts,price,vol_24h_usd,change_24h_pct,rsi_14,vol_ratio,drawdown_90d,ma_50,ma_200,patterns_bull,patterns_bear,catalyst_score,trending_rank,vol_spike,support_90d,resistance_90d,exit_risk,exit_label,exit_reasons
METUSDT,Mid,242,59.8,77.0,55.0,30.0,0.2072,1482000.29761,1.718,54.814266865555524,1.0898981947728954,0.3246346555323591,0.18443199999999998,0.158288,uptrend,,0,,,0.13208055555555556,0.21418333333333334,1,✅ OK,
NEARUSDT,Etabli,32,59.7,70.5,55.0,30.0,2.412,90387832.2675,-7.052,67.48646105012867,0.992727183015889,0.3366750208855472,1.8346599999999997,1.7025600000000003,uptrend,,0,,,1.6289166666666668,2.2619166666666675,2,✅ OK,Près résistance 90j
UNIUSDT,Etabli,28,59.7,75.5,50.0,30.0,6.026,59420997.5672,-9.925,59.290221231571216,1.1184939914829184,0.2779156327543424,4.4889600000000005,3.629245,,,0,,,2.8725555555555555,5.659555555555556,0,✅ OK,
PORTALUSDT,Speculative,,59.4,73.5,55.0,30.0,0.01675,3989467.430264,-0.238,58.41754277101152,0.7009836402311131,0.43361244019138756,0.012915599999999998,0.012082800000000013,uptrend,,0,,,0.010176666666666667,0.017243055555555553,2,✅ OK,Près résistance 90j
ATOMUSDT,Etabli,78,59.2,68.0,60.0,30.0,1.798,4733465.0352,-5.219,68.76175497810485,1.03071797303686,0.3904382470119522,1.4621799999999996,1.7230899999999991,macd_bullish_cross|uptrend,,0,,,1.3340000000000003,1.8247777777777783,0,✅ OK,
APTUSDT,Mid,103,59.18,68.0,56.2,30.0,0.622,12203936.00856,-4.308,56.3151027688175,1.1204638205150264,0.23935389133627022,0.5819600000000001,0.7818900000000005,double_bottom_90d,,0,,,0.5424166666666667,0.6610555555555555,0,✅ OK,
TWTUSDT,Mid,158,59.11,68.5,61.8,30.0,0.57,1366261.3235,0.511,63.596487269381825,0.4316774229229506,0.2123809523809524,0.43528200000000006,0.4290104999999997,golden_cross|uptrend,,0,,,0.3380722222222223,0.5272888888888888,2,✅ OK,Volume ×0.4 épuisé
TRXUSDT,Etabli,8,58.9,68.5,55.0,30.0,0.3404,30332861.5594,0.324,58.96522736850895,0.5380206912462112,0.06552623948970719,0.33286600000000005,0.32580499999999996,macd_bullish_cross,,0,,,0.31999166666666673,0.33930277777777784,4,⚠️ Surveiller,Volume ×0.5 épuisé|Près résistance 90j
SOLUSDT,Etabli,7,58.45,65.5,55.0,35.0,101.13,216985093.81277,-3.002,57.65244254357333,0.4650730242266675,0.12618411464658733,86.43379999999998,82.8526,uptrend,,0,13,,70.3247222222222,102.72305555555556,3,✅ OK,Volume ×0.5 épuisé
PROMUSDT,Mid,264,58.2,70.5,55.0,30.0,5.691,5511927.68207,-2.851,64.67704037569031,0.8610974418513644,0.3084057971014493,3.2176400000000003,1.7963149999999997,uptrend,,0,,,1.0966944444444444,5.294722222222222,1,✅ OK,
